taxonKey	scientificName	datasetKey	bb_key	bb_scientificName	bb_kingdom	bb_rank	bb_taxonomicStatus	bb_acceptedKey	bb_acceptedName	bb_acceptedKingdom	bb_acceptedRank	bb_acceptedTaxonomicStatus	verificationKey	remarks	verifiedBy	dateAdded	outdated
141266487	Abutilon x suntense C.D. Brickell	9ff7d317-609b-4c08-bd86-3bc404b77c42	3935725	Abutilon ×suntense C.D.Brickell	Plantae	SPECIES	SYNONYM	3937506	Corynabutilon ×suntense (C.D.Brickell) Fryxell	Plantae	SPECIES	ACCEPTED	3937506	accept	Quentin Groom	2018-12-20	FALSE
141266288	Acer japonicum Thunb.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3767816	Acer japonicum Thunb.	Plantae	SPECIES	HETEROTYPIC_SYNONYM	8010851	Acer japonicum C.P.Thunberg ex A.Murray	Plantae	SPECIES	ACCEPTED	8010851	accept	Quentin Groom	2018-12-20	FALSE
141266283	Acer palmatum Thunb.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3189882	Acer palmatum Thunb.	Plantae	SPECIES	SYNONYM	7912328	Acer palmatum C.P.Thunberg ex A.Murray	Plantae	SPECIES	ACCEPTED	7912328	accept	Quentin Groom	2018-12-20	FALSE
145962095	Achillea cartilaginea	3f5e930b-52a5-461d-87ec-26ecd66f14a3	3120381	Achillea cartilaginea Ledeb. ex Rchb.	Plantae	SPECIES	SYNONYM	7222196	Achillea salicifolia subsp. salicifolia	Plantae	SUBSPECIES	ACCEPTED	7222196	see http://alienplantsbelgium.be/content/achillea-cartilaginea	Quentin Groom	2018-12-20	TRUE
141265172	Achillea cartilaginea Ledeb. ex Reichenb. s.l.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3120381	Achillea cartilaginea Ledeb. ex Rchb.	Plantae	SPECIES	SYNONYM	7222196	Achillea salicifolia subsp. salicifolia	Plantae	SUBSPECIES	ACCEPTED	7222196	see http://alienplantsbelgium.be/content/achillea-cartilaginea	Quentin Groom	2018-12-20	FALSE
141117250	Acipenser guldenstaedti	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2402131	Acipenser güldenstaedti Brandt & Ratzeberg, 1833	Animalia	SPECIES	SYNONYM	2402129	Acipenser gueldenstaedtii Brandt & Ratzeburg, 1831	Animalia	SPECIES	ACCEPTED	2402129	https://github.com/trias-project/alien-fishes-checklist/issues/17	Peter Desmet	2018-12-20	FALSE
141266870	Aconitum napellus  L. subsp. napellus var. giganteum (Dum. ex Thielens) J. Duvigneaud	9ff7d317-609b-4c08-bd86-3bc404b77c42	3922770	Aconitum napellus var. giganteum (Dumort. ex Thielens) J.Duvigneaud	Plantae	VARIETY	SYNONYM	7707872	Aconitum napellus subsp. lusitanicum Rouy	Plantae	SUBSPECIES	ACCEPTED	3922770	These are distinct taxa according to the Flore de la Belgique	Quentin Groom	2018-12-20	FALSE
145960435	Aconitum napellus giganteum	3f5e930b-52a5-461d-87ec-26ecd66f14a3	3922770	Aconitum napellus var. giganteum (Dumort. ex Thielens) J.Duvigneaud	Plantae	VARIETY	SYNONYM	7707872	Aconitum napellus subsp. lusitanicum Rouy	Plantae	SUBSPECIES	ACCEPTED	3922770	These are distinct taxa according to the Flore de la Belgique	Quentin Groom	2018-12-20	TRUE
141266858	Aconitum x stoerkianum Reichenb.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3920712	Aconitum stoerkianum Rchb.	Plantae	SPECIES	SYNONYM	9159238	Aconitum nasutum subsp. paniculatum (Arcangeli) Greuter & Burdet	Plantae	SUBSPECIES	ACCEPTED				2018-12-20	FALSE
141266380	Aconogonon campanulatum (Hook. f.) H. Hara	9ff7d317-609b-4c08-bd86-3bc404b77c42	6391389	Aconogonon campanulatum (Hook.fil.) Hara	Plantae	SPECIES	SYNONYM	9018536	Koenigia campanulata (Hook.f.) T.M.Schust. & Reveal	Plantae	SPECIES	ACCEPTED	9018536	https://doi.org/10.12705/646.5	Quentin Groom	2018-12-20	FALSE
141266430	Aconogonon divaricatum (L.) Nakai	9ff7d317-609b-4c08-bd86-3bc404b77c42	7291572	Aconogonon divaricatum (L.) Nakai	Plantae	SPECIES	SYNONYM	8720751	Koenigia divaricata (L.) T.M.Schust. & Reveal	Plantae	SPECIES	ACCEPTED	8720751	https://doi.org/10.12705/646.5	Quentin Groom	2018-12-20	FALSE
141266396	Aconogonon x fennicum Reiersen	9ff7d317-609b-4c08-bd86-3bc404b77c42	4035232	Aconogonon fennicum Reiersen	Plantae	SPECIES	SYNONYM	8773480	Koenigia fennica (Reiersen) T.M.Schust. & Reveal	Plantae	SPECIES	ACCEPTED	8773480	https://doi.org/10.12705/646.5	Quentin Groom	2018-12-20	FALSE
146042154	Acroptilon repens	1738f272-6b5d-4f43-9a92-453a8c5ea50a	3142214	Acroptilon repens (L.) DC.	Plantae	SPECIES	SYNONYM	3142208	Rhaponticum repens (L.) Hidalgo	Plantae	SPECIES	ACCEPTED	3142208	accept	Quentin Groom	2018-12-20	FALSE
145960575	Acroptilon repens	3f5e930b-52a5-461d-87ec-26ecd66f14a3	3142214	Acroptilon repens (L.) DC.	Plantae	SPECIES	SYNONYM	3142208	Rhaponticum repens (L.) Hidalgo	Plantae	SPECIES	ACCEPTED	3142208	accept	Quentin Groom	2018-12-20	TRUE
145960177	Actinidia deliciosa	3f5e930b-52a5-461d-87ec-26ecd66f14a3	7270761	Actinidia deliciosa (Chev.) C.F.Liang & A.R.Ferguson	Plantae	SPECIES	SYNONYM	3644922	Actinidia chinensis var. hispida C.F.Liang	Plantae	VARIETY	ACCEPTED	7270761	reject	Quentin Groom	2018-12-20	TRUE
141264679	Actinidia deliciosa (Chevalier) C.S. Liang & A.R. Ferguson	9ff7d317-609b-4c08-bd86-3bc404b77c42	7270761	Actinidia deliciosa (Chev.) C.F.Liang & A.R.Ferguson	Plantae	SPECIES	SYNONYM	3644922	Actinidia chinensis var. hispida C.F.Liang	Plantae	VARIETY	ACCEPTED	7270761	reject	Quentin Groom	2018-12-20	FALSE
145953999	Adiantum raddianum	3f5e930b-52a5-461d-87ec-26ecd66f14a3	2651826	Adiantum raddianum C.Presl	Plantae	SPECIES	SYNONYM	7335777	Doryopteris raddiana (Pr.) F	Plantae	SPECIES	ACCEPTED	7335777	accept	Quentin Groom	2018-12-20	TRUE
141266305	Adiantum raddianum C. Presl	9ff7d317-609b-4c08-bd86-3bc404b77c42	2651826	Adiantum raddianum C.Presl	Plantae	SPECIES	SYNONYM	7335777	Doryopteris raddiana (Pr.) F	Plantae	SPECIES	ACCEPTED	7335777	accept	Quentin Groom	2018-12-20	FALSE
141266289	Aesculus pavia L. (incl. var. discolor (Pursh) Torr. & A. Gray)	9ff7d317-609b-4c08-bd86-3bc404b77c42														2018-12-20	FALSE
141265778	Agropyron cristatum (L.) Gaertn. subsp. pectinatum (Bieb.) Tzvelev	9ff7d317-609b-4c08-bd86-3bc404b77c42	4270510	Agropyron cristatum subsp. pectinatum (M.Bieb.) Tzvelev	Plantae	SUBSPECIES	SYNONYM	2705196	Agropyron cristatum (L.) Gaertn.	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
141267206	Agrostemma gracile Boiss.	9ff7d317-609b-4c08-bd86-3bc404b77c42	7534154	Agrostemma gracile Boiss.	Plantae	SPECIES	SYNONYM	3085366	Agrostemma brachyloba (Fenzl) K.Hammer	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
145962630	Agrostis lachnantha	3f5e930b-52a5-461d-87ec-26ecd66f14a3	4121178	Agrostis lachnantha Nees	Plantae	SPECIES	SYNONYM	4135892	Lachnagrostis lachnantha (Nees) Rúgolo & A.M.Molina	Plantae	SPECIES	ACCEPTED	4135892	accept	Quentin Groom	2018-12-20	TRUE
141265708	Agrostis lachnantha Nees	9ff7d317-609b-4c08-bd86-3bc404b77c42	4121178	Agrostis lachnantha Nees	Plantae	SPECIES	SYNONYM	4135892	Lachnagrostis lachnantha (Nees) Rúgolo & A.M.Molina	Plantae	SPECIES	ACCEPTED	4135892	accept	Quentin Groom	2018-12-20	FALSE
141265730	Aira caryophyllea subsp. plesiantha (Jord.) K. Richt.	9ff7d317-609b-4c08-bd86-3bc404b77c42	6084799	Aira caryophyllea subsp. plesiantha (Jord. ex Boreau) K.Richt.	Plantae	SUBSPECIES	SYNONYM	7747216	Aira caryophyllea L.	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
141265881	Aira elegantissima Schur	9ff7d317-609b-4c08-bd86-3bc404b77c42	5289579	Aira elegantissima Schur	Plantae	SPECIES	SYNONYM	7948459	Aira elegans Willd. ex Roem. & Schult.	Plantae	SPECIES	ACCEPTED				2018-12-20	FALSE
141266471	Alcea ficifolia L. (Alcea rosea x rugosa)	9ff7d317-609b-4c08-bd86-3bc404b77c42														2018-12-20	FALSE
141267235	Allium paradoxum (Bieb.) G. Don var. paradoxum	9ff7d317-609b-4c08-bd86-3bc404b77c42														2018-12-20	FALSE
141267234	Allium porrum L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	7668251	Allium porrum L.	Plantae	SPECIES	SYNONYM	2856037	Allium ampeloprasum L.	Plantae	SPECIES	ACCEPTED	2856037	accept	Quentin Groom	2018-12-20	FALSE
141266850	Alonsoa intermedia Lodd.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3724078	Alonsoa intermedia Lodd.	Plantae	SPECIES	SYNONYM	7331548	Alonsoa linearis Ruiz & Pav.	Plantae	SPECIES	ACCEPTED	7331548	accept	Quentin Groom	2018-12-20	FALSE
141266207	Alternanthera denticulata R. Brown	9ff7d317-609b-4c08-bd86-3bc404b77c42	7655198	Alternanthera denticulata R.Br.	Plantae	SPECIES	SYNONYM	3084939	Alternanthera sessilis (L.) DC.	Plantae	SPECIES	ACCEPTED	3084939	accept	Quentin Groom	2018-12-20	FALSE
141266152	Alternanthera nodiflora R. Brown	9ff7d317-609b-4c08-bd86-3bc404b77c42	7323675	Alternanthera nodiflora R.Br.	Plantae	SPECIES	SYNONYM	3084939	Alternanthera sessilis (L.) DC.	Plantae	SPECIES	ACCEPTED	3084939	accept	Quentin Groom	2018-12-20	FALSE
