taxonKey,locationId,locality,country,status,temporal,establishmentMeans,source
140562891,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2000/2016,INTRODUCED,"Vercauteren T, De Smedt S, Warmoes T, Goddeeris B, Wouters K (2005) Drie nieuwe Ponto-Kaspische inwijkelingen dringen door tot in kanalen in de provincie Antwerpen: de zoetwaterpolychaet Hypania invalida (Grube, 1860) en, voor het eerst in België, de platworm Dendrocoelum romanodanubiale (Codreanu, 1949) en de Donaupissebed Jaera istri Veuille, 1979. In: Nieuwborg H (ed), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2003, pp 83–97"
140562894,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2002/2016,INTRODUCED,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
140562895,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2010/2016,INTRODUCED,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
140562897,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1996/2016,INTRODUCED,"Seys J, Vincx M, Meire P (1999) Spatial distribution of oligochaetes (Clitellata) in the tidal freshwater and brackish parts of the Schelde estuary (Belgium). In: Aquatic Oligochaetes, Springer Netherlands, pp 119–132"
140562898,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1931/2016,INTRODUCED,"Damas H (1938) Sur la presence dans la Meuse belge de Branchiura sowerbyi, Craspedacusta sowerbyi, et Urnatella gracilis. Annalles de Societé Zoologique Belge 69: 293–310"
140562899,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2009/2016,INTRODUCED,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
140562900,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2006/2016,INTRODUCED,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
140562901,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2008/2016,INTRODUCED,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
140562902,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2009/2016,INTRODUCED,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
140562903,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2002/2016,INTRODUCED,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
140562906,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1995/2016,INTRODUCED,"Ysebaert T, Meire P, De Block M, De Regge N, Soors J (1997) A first record of Marenzelleria viridis (Verril, 1873) (Polychaeta, Spionidae) in the Schelde estuary (Belgium). Biologisch Jaarboek (Dodonaea) 64: 176–181"
140562907,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2008/2016,INTRODUCED,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
140562910,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1950/2016,INTRODUCED,"Leloup E, Lefevere S (1952) Sur la présence dans les eaux de la côte belge du cirripède, Elminius modestus Darwin, 1854, du copepode parasite, Mytilicola intestinalis Steuer, 1902, et du polychète, Mercierella enigmatica Fauvel, 1922. Mededelingen Koninklijk Belgisch Instituut voor Natuur Wetenschappen 28: 1–12"
140562912,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2014/2016,INTRODUCED,"Boets P, Brosens D, Lock K, Adriaens T, Aelterman B, Mertens J & Goethals P. 2016. Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions 11 (2): 131–144. https://doi.org/10.3391/ai.2016.11.2.03"
140562916,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2004/2016,INTRODUCED,"Vercauteren T, Sablon S, Wouters K (2006) Exotische ongewervelden in vijvers en grachten van het Provinciaal Groendomein ‘Prinsenpark’. In: Retie: een eerste bilan. In: Nieuwborg H, Rijvers T (eds), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2004–2005, pp 27–39"
140562918,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,2001/2016,INTRODUCED,"Vercauteren T, De Smedt S, Warmoes T, Goddeeris B, Wouters K (2005) Drie nieuwe Ponto-Kaspische inwijkelingen dringen door tot in kanalen in de provincie Antwerpen: de zoetwaterpolychaet Hypania invalida (Grube, 1860) en, voor het eerst in België, de platworm Dendrocoelum romanodanubiale (Codreanu, 1949) en de Donaupissebed Jaera istri Veuille, 1979. In: Nieuwborg H (ed), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2003, pp 83–97"
140562922,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1987/2016,INTRODUCED,"Kerckhof F, Dumoulin E (1987) Eerste vondsten van de Amerikaanse zwaardschede Ensis directus (Conrad, 1843) langs de Belgische kust. De Strandvlo 7: 51–52"
140562925,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1924/2016,INTRODUCED,"Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp"
140562926,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1927/2016,INTRODUCED,"Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp"
140562929,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1911/2016,INTRODUCED,"Adam W, Leloup E (1934) Sur la présence du gastéropode Crepidula fornicata (Linné, 1758) sur la côte belge. Bulletin du Musée royal d'Histoire naturelle de Belgique 10: 1–5"
140562932,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1700/2016,INTRODUCED,"Kerckhof F, Haelters J, Gollasch S (2007) Alien species in the marine and brackish ecosystem: the situation in Belgian waters. Aquatic Invasions 2: 243–257, https://doi.org/10.3391/ai.2007.2.3.9"
140562934,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1730/1732,INTRODUCED,"Sellius G (1733) Historia naturalis teredinis seu xylophagi marini tubulochonchoidis speciatim Belgici, Trajecti ad Rhenum, p 366"
140562935,ISO_3166-2:BE-VLG,Flemish Region,BE,PRESENT,1600/2016,INTRODUCED,"Backeljau T (1986) Lijst van de recente mariene mollusken van België. Studiedocumenten van het K.B.I.N. 29. Koninklijk Belgisch Instituut voor Natuurwetenschappen: Brussel, 106 pp"
